source,date,title,summary,text,filtered,normalized,tokens_word,tokens_sentence,tokens_tweet
BBC,2026-04-28,In pictures: King Charles at Oval Office on US state visit,King Charles III and Queen Camilla continued their state visit to the US with a White House military ceremony and an aircraft fly over.,In pictures: King Charles at Oval Office on US state visit King Charles III and Queen Camilla continued their state visit to the US with a White House military ceremony and an aircraft fly over.,In pictures King Charles at Oval Office on US state visit King Charles III and Queen Camilla continued their state visit to the US with a White House military ceremony and an aircraft fly over,in pictures king charles at oval office on us state visit king charles iii and queen camilla continued their state visit to the us with a white house military ceremony and an aircraft fly over,"['in', 'pictures', 'king', 'charles', 'at', 'oval', 'office', 'on', 'us', 'state', 'visit', 'king', 'charles', 'iii', 'and', 'queen', 'camilla', 'continued', 'their', 'state', 'visit', 'to', 'the', 'us', 'with', 'a', 'white', 'house', 'military', 'ceremony', 'and', 'an', 'aircraft', 'fly', 'over']",['In pictures King Charles at Oval Office on US state visit King Charles III and Queen Camilla continued their state visit to the US with a White House military ceremony and an aircraft fly over'],"['in', 'pictures', 'king', 'charles', 'at', 'oval', 'office', 'on', 'us', 'state', 'visit', 'king', 'charles', 'iii', 'and', 'queen', 'camilla', 'continued', 'their', 'state', 'visit', 'to', 'the', 'us', 'with', 'a', 'white', 'house', 'military', 'ceremony', 'and', 'an', 'aircraft', 'fly', 'over']"
BBC,2026-04-28,Faisal Islam: Why the UAE's exit from Opec is a big deal,"It will have little effect on the current oil blockades, but it could change everything afterwards.","Faisal Islam: Why the UAE's exit from Opec is a big deal It will have little effect on the current oil blockades, but it could change everything afterwards.",Faisal Islam Why the UAE's exit from Opec is a big deal It will have little effect on the current oil blockades but it could change everything afterwards,faisal islam why the uae's exit from opec is a big deal it will have little effect on the current oil blockades but it could change everything afterwards,"['faisal', 'islam', 'why', 'the', 'uae', ""'s"", 'exit', 'from', 'opec', 'is', 'a', 'big', 'deal', 'it', 'will', 'have', 'little', 'effect', 'on', 'the', 'current', 'oil', 'blockades', 'but', 'it', 'could', 'change', 'everything', 'afterwards']","[""Faisal Islam Why the UAE's exit from Opec is a big deal It will have little effect on the current oil blockades but it could change everything afterwards""]","['faisal', 'islam', 'why', 'the', ""uae's"", 'exit', 'from', 'opec', 'is', 'a', 'big', 'deal', 'it', 'will', 'have', 'little', 'effect', 'on', 'the', 'current', 'oil', 'blockades', 'but', 'it', 'could', 'change', 'everything', 'afterwards']"
BBC,2026-04-28,Find out how your MP voted on Mandelson vetting inquiry,Check whether your MP voted for or against a parliamentary investigation into whether the PM misled the Commons.,Find out how your MP voted on Mandelson vetting inquiry Check whether your MP voted for or against a parliamentary investigation into whether the PM misled the Commons.,Find out how your MP voted on Mandelson vetting inquiry Check whether your MP voted for or against a parliamentary investigation into whether the PM misled the Commons,find out how your mp voted on mandelson vetting inquiry check whether your mp voted for or against a parliamentary investigation into whether the pm misled the commons,"['find', 'out', 'how', 'your', 'mp', 'voted', 'on', 'mandelson', 'vetting', 'inquiry', 'check', 'whether', 'your', 'mp', 'voted', 'for', 'or', 'against', 'a', 'parliamentary', 'investigation', 'into', 'whether', 'the', 'pm', 'misled', 'the', 'commons']",['Find out how your MP voted on Mandelson vetting inquiry Check whether your MP voted for or against a parliamentary investigation into whether the PM misled the Commons'],"['find', 'out', 'how', 'your', 'mp', 'voted', 'on', 'mandelson', 'vetting', 'inquiry', 'check', 'whether', 'your', 'mp', 'voted', 'for', 'or', 'against', 'a', 'parliamentary', 'investigation', 'into', 'whether', 'the', 'pm', 'misled', 'the', 'commons']"
BBC,2026-04-28,Nostalgia wasn't enough: What went wrong at Claire's,Experts says Claire's suffered from a perfect storm of issues which has spelled the end for the accessories chain.,Nostalgia wasn't enough: What went wrong at Claire's Experts says Claire's suffered from a perfect storm of issues which has spelled the end for the accessories chain.,Nostalgia wasn't enough What went wrong at Claire's Experts says Claire's suffered from a perfect storm of issues which has spelled the end for the accessories chain,nostalgia wasn't enough what went wrong at claire's experts says claire's suffered from a perfect storm of issues which has spelled the end for the accessories chain,"['nostalgia', 'was', ""n't"", 'enough', 'what', 'went', 'wrong', 'at', 'claire', ""'s"", 'experts', 'says', 'claire', ""'s"", 'suffered', 'from', 'a', 'perfect', 'storm', 'of', 'issues', 'which', 'has', 'spelled', 'the', 'end', 'for', 'the', 'accessories', 'chain']","[""Nostalgia wasn't enough What went wrong at Claire's Experts says Claire's suffered from a perfect storm of issues which has spelled the end for the accessories chain""]","['nostalgia', ""wasn't"", 'enough', 'what', 'went', 'wrong', 'at', ""claire's"", 'experts', 'says', ""claire's"", 'suffered', 'from', 'a', 'perfect', 'storm', 'of', 'issues', 'which', 'has', 'spelled', 'the', 'end', 'for', 'the', 'accessories', 'chain']"
BBC,2026-04-28,The man who exposed hundreds of British Museum thefts - but didn't live to see justice,Dr Ittai Gradel made global headlines after exposing the thefts of many artefacts from the British Museum.,The man who exposed hundreds of British Museum thefts - but didn't live to see justice Dr Ittai Gradel made global headlines after exposing the thefts of many artefacts from the British Museum.,The man who exposed hundreds of British Museum thefts - but didn't live to see justice Dr Ittai Gradel made global headlines after exposing the thefts of many artefacts from the British Museum,the man who exposed hundreds of british museum thefts - but didn't live to see justice dr ittai gradel made global headlines after exposing the thefts of many artefacts from the british museum,"['the', 'man', 'who', 'exposed', 'hundreds', 'of', 'british', 'museum', 'thefts', '-', 'but', 'did', ""n't"", 'live', 'to', 'see', 'justice', 'dr', 'ittai', 'gradel', 'made', 'global', 'headlines', 'after', 'exposing', 'the', 'thefts', 'of', 'many', 'artefacts', 'from', 'the', 'british', 'museum']","[""The man who exposed hundreds of British Museum thefts - but didn't live to see justice Dr Ittai Gradel made global headlines after exposing the thefts of many artefacts from the British Museum""]","['the', 'man', 'who', 'exposed', 'hundreds', 'of', 'british', 'museum', 'thefts', '-', 'but', ""didn't"", 'live', 'to', 'see', 'justice', 'dr', 'ittai', 'gradel', 'made', 'global', 'headlines', 'after', 'exposing', 'the', 'thefts', 'of', 'many', 'artefacts', 'from', 'the', 'british', 'museum']"
BBC,2026-04-28,Russian superyacht sails through Strait of Hormuz despite blockade,"The 141m-long vessel, linked to a close ally of Russian President Vladimir Putin, cleared the waterway despite an ongoing blockade.","Russian superyacht sails through Strait of Hormuz despite blockade The 141m-long vessel, linked to a close ally of Russian President Vladimir Putin, cleared the waterway despite an ongoing blockade.",Russian superyacht sails through Strait of Hormuz despite blockade The m-long vessel linked to a close ally of Russian President Vladimir Putin cleared the waterway despite an ongoing blockade,russian superyacht sails through strait of hormuz despite blockade the m-long vessel linked to a close ally of russian president vladimir putin cleared the waterway despite an ongoing blockade,"['russian', 'superyacht', 'sails', 'through', 'strait', 'of', 'hormuz', 'despite', 'blockade', 'the', 'm-long', 'vessel', 'linked', 'to', 'a', 'close', 'ally', 'of', 'russian', 'president', 'vladimir', 'putin', 'cleared', 'the', 'waterway', 'despite', 'an', 'ongoing', 'blockade']",['Russian superyacht sails through Strait of Hormuz despite blockade The m-long vessel linked to a close ally of Russian President Vladimir Putin cleared the waterway despite an ongoing blockade'],"['russian', 'superyacht', 'sails', 'through', 'strait', 'of', 'hormuz', 'despite', 'blockade', 'the', 'm-long', 'vessel', 'linked', 'to', 'a', 'close', 'ally', 'of', 'russian', 'president', 'vladimir', 'putin', 'cleared', 'the', 'waterway', 'despite', 'an', 'ongoing', 'blockade']"
BBC,2026-04-28,Former FBI director James Comey indicted for second time,The indictment stems from a 2025 photo of seashells posted by Comey that critics have said encouraged violence against the US president.,Former FBI director James Comey indicted for second time The indictment stems from a 2025 photo of seashells posted by Comey that critics have said encouraged violence against the US president.,Former FBI director James Comey indicted for second time The indictment stems from a photo of seashells posted by Comey that critics have said encouraged violence against the US president,former fbi director james comey indicted for second time the indictment stems from a photo of seashells posted by comey that critics have said encouraged violence against the us president,"['former', 'fbi', 'director', 'james', 'comey', 'indicted', 'for', 'second', 'time', 'the', 'indictment', 'stems', 'from', 'a', 'photo', 'of', 'seashells', 'posted', 'by', 'comey', 'that', 'critics', 'have', 'said', 'encouraged', 'violence', 'against', 'the', 'us', 'president']",['Former FBI director James Comey indicted for second time The indictment stems from a photo of seashells posted by Comey that critics have said encouraged violence against the US president'],"['former', 'fbi', 'director', 'james', 'comey', 'indicted', 'for', 'second', 'time', 'the', 'indictment', 'stems', 'from', 'a', 'photo', 'of', 'seashells', 'posted', 'by', 'comey', 'that', 'critics', 'have', 'said', 'encouraged', 'violence', 'against', 'the', 'us', 'president']"
BBC,2026-04-28,Army to resume Ajax armoured vehicle trials after they made soldiers sick,"Trials of the Ajax vehicles, produced in Merthyr Tydfil, will proceed ""cautiously"", says minister.","Army to resume Ajax armoured vehicle trials after they made soldiers sick Trials of the Ajax vehicles, produced in Merthyr Tydfil, will proceed ""cautiously"", says minister.",Army to resume Ajax armoured vehicle trials after they made soldiers sick Trials of the Ajax vehicles produced in Merthyr Tydfil will proceed cautiously says minister,army to resume ajax armoured vehicle trials after they made soldiers sick trials of the ajax vehicles produced in merthyr tydfil will proceed cautiously says minister,"['army', 'to', 'resume', 'ajax', 'armoured', 'vehicle', 'trials', 'after', 'they', 'made', 'soldiers', 'sick', 'trials', 'of', 'the', 'ajax', 'vehicles', 'produced', 'in', 'merthyr', 'tydfil', 'will', 'proceed', 'cautiously', 'says', 'minister']",['Army to resume Ajax armoured vehicle trials after they made soldiers sick Trials of the Ajax vehicles produced in Merthyr Tydfil will proceed cautiously says minister'],"['army', 'to', 'resume', 'ajax', 'armoured', 'vehicle', 'trials', 'after', 'they', 'made', 'soldiers', 'sick', 'trials', 'of', 'the', 'ajax', 'vehicles', 'produced', 'in', 'merthyr', 'tydfil', 'will', 'proceed', 'cautiously', 'says', 'minister']"
BBC,2026-04-28,"Teacher said baby was 'dead meat', jury hears","Thirteen-month-old Preston Davey suffered 40 injuries in the months up to his death, a jury is told.","Teacher said baby was 'dead meat', jury hears Thirteen-month-old Preston Davey suffered 40 injuries in the months up to his death, a jury is told.",Teacher said baby was 'dead meat' jury hears Thirteen-month-old Preston Davey suffered injuries in the months up to his death a jury is told,teacher said baby was 'dead meat' jury hears thirteen-month-old preston davey suffered injuries in the months up to his death a jury is told,"['teacher', 'said', 'baby', 'was', ""'dead"", 'meat', ""'"", 'jury', 'hears', 'thirteen-month-old', 'preston', 'davey', 'suffered', 'injuries', 'in', 'the', 'months', 'up', 'to', 'his', 'death', 'a', 'jury', 'is', 'told']","[""Teacher said baby was 'dead meat' jury hears Thirteen-month-old Preston Davey suffered injuries in the months up to his death a jury is told""]","['teacher', 'said', 'baby', 'was', ""'"", 'dead', 'meat', ""'"", 'jury', 'hears', 'thirteen-month-old', 'preston', 'davey', 'suffered', 'injuries', 'in', 'the', 'months', 'up', 'to', 'his', 'death', 'a', 'jury', 'is', 'told']"
BBC,2026-04-28,Brighton plan Europe's first purpose-built £80m women's football stadium,"Brighton and Hove Albion release plans for Europe's first purpose-built women's football stadium, which will cost £75-80m.","Brighton plan Europe's first purpose-built £80m women's football stadium Brighton and Hove Albion release plans for Europe's first purpose-built women's football stadium, which will cost £75-80m.",Brighton plan Europe's first purpose-built m women's football stadium Brighton and Hove Albion release plans for Europe's first purpose-built women's football stadium which will cost - m,brighton plan europe's first purpose-built m women's football stadium brighton and hove albion release plans for europe's first purpose-built women's football stadium which will cost - m,"['brighton', 'plan', 'europe', ""'s"", 'first', 'purpose-built', 'm', 'women', ""'s"", 'football', 'stadium', 'brighton', 'and', 'hove', 'albion', 'release', 'plans', 'for', 'europe', ""'s"", 'first', 'purpose-built', 'women', ""'s"", 'football', 'stadium', 'which', 'will', 'cost', '-', 'm']","[""Brighton plan Europe's first purpose-built m women's football stadium Brighton and Hove Albion release plans for Europe's first purpose-built women's football stadium which will cost - m""]","['brighton', 'plan', ""europe's"", 'first', 'purpose-built', 'm', ""women's"", 'football', 'stadium', 'brighton', 'and', 'hove', 'albion', 'release', 'plans', 'for', ""europe's"", 'first', 'purpose-built', ""women's"", 'football', 'stadium', 'which', 'will', 'cost', '-', 'm']"
BBC,2026-04-28,"Swarm of 10,000 bees settles on bike outside Louvre in Paris",The swarm gathers underneath the saddle of a bike locked to the railings of a metro station.,"Swarm of 10,000 bees settles on bike outside Louvre in Paris The swarm gathers underneath the saddle of a bike locked to the railings of a metro station.",Swarm of bees settles on bike outside Louvre in Paris The swarm gathers underneath the saddle of a bike locked to the railings of a metro station,swarm of bees settles on bike outside louvre in paris the swarm gathers underneath the saddle of a bike locked to the railings of a metro station,"['swarm', 'of', 'bees', 'settles', 'on', 'bike', 'outside', 'louvre', 'in', 'paris', 'the', 'swarm', 'gathers', 'underneath', 'the', 'saddle', 'of', 'a', 'bike', 'locked', 'to', 'the', 'railings', 'of', 'a', 'metro', 'station']",['Swarm of bees settles on bike outside Louvre in Paris The swarm gathers underneath the saddle of a bike locked to the railings of a metro station'],"['swarm', 'of', 'bees', 'settles', 'on', 'bike', 'outside', 'louvre', 'in', 'paris', 'the', 'swarm', 'gathers', 'underneath', 'the', 'saddle', 'of', 'a', 'bike', 'locked', 'to', 'the', 'railings', 'of', 'a', 'metro', 'station']"
BBC,2026-04-28,GP struck off over garlic oil 'cancer cure' claims,"Mohsen Ali charged cancer patients up to £15,000 for bogus ""cures"", a tribunal hears.","GP struck off over garlic oil 'cancer cure' claims Mohsen Ali charged cancer patients up to £15,000 for bogus ""cures"", a tribunal hears.",GP struck off over garlic oil 'cancer cure' claims Mohsen Ali charged cancer patients up to for bogus cures a tribunal hears,gp struck off over garlic oil 'cancer cure' claims mohsen ali charged cancer patients up to for bogus cures a tribunal hears,"['gp', 'struck', 'off', 'over', 'garlic', 'oil', ""'cancer"", 'cure', ""'"", 'claims', 'mohsen', 'ali', 'charged', 'cancer', 'patients', 'up', 'to', 'for', 'bogus', 'cures', 'a', 'tribunal', 'hears']","[""GP struck off over garlic oil 'cancer cure' claims Mohsen Ali charged cancer patients up to for bogus cures a tribunal hears""]","['gp', 'struck', 'off', 'over', 'garlic', 'oil', ""'"", 'cancer', 'cure', ""'"", 'claims', 'mohsen', 'ali', 'charged', 'cancer', 'patients', 'up', 'to', 'for', 'bogus', 'cures', 'a', 'tribunal', 'hears']"
BBC,2026-04-27,"The King Arrives In The US, But Can He Mend The Special Relationship?",The King lands in Washington for four day state visit.,"The King Arrives In The US, But Can He Mend The Special Relationship? The King lands in Washington for four day state visit.",The King Arrives In The US But Can He Mend The Special Relationship The King lands in Washington for four day state visit,the king arrives in the us but can he mend the special relationship the king lands in washington for four day state visit,"['the', 'king', 'arrives', 'in', 'the', 'us', 'but', 'can', 'he', 'mend', 'the', 'special', 'relationship', 'the', 'king', 'lands', 'in', 'washington', 'for', 'four', 'day', 'state', 'visit']",['The King Arrives In The US But Can He Mend The Special Relationship The King lands in Washington for four day state visit'],"['the', 'king', 'arrives', 'in', 'the', 'us', 'but', 'can', 'he', 'mend', 'the', 'special', 'relationship', 'the', 'king', 'lands', 'in', 'washington', 'for', 'four', 'day', 'state', 'visit']"
